,content,page_number,real_page_num,section_level_1,section_level_2,section_level_3
48,"10 Stamford Road, Oakleigh, Victoria 3166, Australia",6,VI,,,
49,© Cambridge University Press 1993,6,VI,,,
50,First published 1993,6,VI,,,
51,A catalogue record for this book is available from the British Library,6,VI,,,
52,Library of Congress cataloguing in publication data applied for,6,VI,,,
53,ISBN 0 521 37463 4 hardback,6,VI,,,
54,ISBN 0 521 37610 6 paperback,6,VI,,,
55,Transferred to digital printing 2003,6,VI,,,
56,AU,6,VI,,,
57,For Bertie,7,VII,,,
58,CONTENTS,9,IX,CONTENTS,,
59,List of figures,9,IX,CONTENTS,,
60,Preface,9,IX,CONTENTS,,
61,List of symbols page xn xiii xv,9,IX,CONTENTS,,
62,INTRODUCTION,9,IX,CONTENTS,,
63,Semantics and semantic theory,9,IX,CONTENTS,,
64,Compositionality,9,IX,CONTENTS,,
65,Meaning relations,9,IX,CONTENTS,,
66,Ambiguity,9,IX,CONTENTS,,
67,Denotation,9,IX,CONTENTS,,
68,Interpretation and representation,9,IX,CONTENTS,,
69,Truth-conditions,9,IX,CONTENTS,,
70,"Formalisation, models and sets",9,IX,CONTENTS,,
71,Beyond truth-conditions,9,IX,CONTENTS,,
72,"Knowledge, behaviour and use",9,IX,CONTENTS,,
73,Context,9,IX,CONTENTS,,
74,A note on method,9,IX,CONTENTS,,
75,Further reading,9,IX,CONTENTS,,
76,P R E D I C A T E S AND ARGUMENTS,9,IX,CONTENTS,,
77,Translating English into a logical language,9,IX,CONTENTS,,
78,The syntax of Lp,9,IX,CONTENTS,,
79,A grammar fragment for English,9,IX,CONTENTS,,
80,The translation procedure,9,IX,CONTENTS,,
81,Interpreting LP,9,IX,CONTENTS,,
82,Individuals and identity,9,IX,CONTENTS,,
83,A little light set theory,9,IX,CONTENTS,,
84,Interpreting predicates,9,IX,CONTENTS,,
85,Finishing up,9,IX,CONTENTS,,
86,Further reading,9,IX,CONTENTS,,
87,NEGATION AND C O - O R D I N A T I O N,9,IX,CONTENTS,,
88,Compound sentences,9,IX,CONTENTS,,
89,Complex formulae,9,IX,CONTENTS,,
90,Interpretation,9,IX,CONTENTS,,
91,Negation,9,IX,CONTENTS,,
92,Conjunction,9,IX,CONTENTS,,
93,Disjunction,9,IX,CONTENTS,,
94,Implication,9,IX,CONTENTS,,
95,Equivalence,9,IX,CONTENTS,,
96,Formal interpretation,9,IX,CONTENTS,,
97,Formal models,9,IX,CONTENTS,,
98,8 ix,9,IX,CONTENTS,,
99,Model theory,10,X,CONTENTS,,
100,Further reading,10,X,CONTENTS,,
101,TYPE THEORY,10,X,CONTENTS,,
102,Verb phrases and other constituents,10,X,CONTENTS,,
103,A typed logical language,10,X,CONTENTS,,
104,Semantic types,10,X,CONTENTS,,
105,Translating verb phrases,10,X,CONTENTS,,
106,More set theory,10,X,CONTENTS,,
107,Relations and functions,10,X,CONTENTS,,
108,Sets again,10,X,CONTENTS,,
109,Interpreting L ^,10,X,CONTENTS,,
110,Denotation,10,X,CONTENTS,,
111,Revising the theory,10,X,CONTENTS,,
112,Adverbs,10,X,CONTENTS,,
113,Further reading,10,X,CONTENTS,,
114,THE LAMBDA OPERATOR,10,X,CONTENTS,,
115,The passive,10,X,CONTENTS,,
116,Introducing the lambda operator,10,X,CONTENTS,,
117,Extending L ^,10,X,CONTENTS,,
118,Interpreting lambda expressions,10,X,CONTENTS,,
119,The passive again,10,X,CONTENTS,,
120,Generalising lambda expressions,10,X,CONTENTS,,
121,Reviewing co-ordination,10,X,CONTENTS,,
122,Sentential co-ordination,10,X,CONTENTS,,
123,Co-ordinating other categories,10,X,CONTENTS,,
124,Further reading,10,X,CONTENTS,,
125,QUANTIFICATION,10,X,CONTENTS,,
126,The variety of noun phrases,10,X,CONTENTS,,
127,Introducing the logical quantifiers,10,X,CONTENTS,,
128,The quantifiers,10,X,CONTENTS,,
129,Interpreting LQ,10,X,CONTENTS,,
130,Quantification and negation,10,X,CONTENTS,,
131,A compositional approach,10,X,CONTENTS,,
132,Translating quantifier pronouns,10,X,CONTENTS,,
133,Complex NPs,10,X,CONTENTS,,
134,Nominal modifiers,10,X,CONTENTS,,
135,Proper names and definite descriptions,10,X,CONTENTS,,
136,Two problems,10,X,CONTENTS,,
137,Type raising,10,X,CONTENTS,,
138,Scope ambiguities,10,X,CONTENTS,,
139,Generalised quantifiers,10,X,CONTENTS,,
140,Further Reading,10,X,CONTENTS,,
141,INFERENCE,10,X,CONTENTS,,
142,Making inferences,10,X,CONTENTS,,
143,Logical deduction,10,X,CONTENTS,,
144,Using the connectives,11,XI,CONTENTS,,
145,Reasoning with quantifiers,11,XI,CONTENTS,,
146,Lexical meaning,11,XI,CONTENTS,,
147,Non-truth-conditional aspects of the connectives,11,XI,CONTENTS,,
148,And,11,XI,CONTENTS,,
149,Or,11,XI,CONTENTS,,
150,If,11,XI,CONTENTS,,
151,Further Reading,11,XI,CONTENTS,,
152,"TIME, TENSE AND ASPECT",11,XI,CONTENTS,,
153,Temporal contingency,11,XI,CONTENTS,,
154,Time,11,XI,CONTENTS,,
155,Intervals of time,11,XI,CONTENTS,,
156,Temporal models,11,XI,CONTENTS,,
157,Tense,11,XI,CONTENTS,,
158,"Past, present and future",11,XI,CONTENTS,,
159,Complex tenses,11,XI,CONTENTS,,
160,Simple aspect,11,XI,CONTENTS,,
161,Perfective and imperfective,11,XI,CONTENTS,,
162,States and actions,11,XI,CONTENTS,,
163,Scope ambiguities,11,XI,CONTENTS,,
164,Further reading,11,XI,CONTENTS,,
165,P O S S I B L E WORLDS,11,XI,CONTENTS,,
166,Where entailments fail,11,XI,CONTENTS,,
167,Intension and extension,11,XI,CONTENTS,,
168,Introducing other worlds,11,XI,CONTENTS,,
169,Simple modality,11,XI,CONTENTS,,
170,Accessible worlds,11,XI,CONTENTS,,
171,Further reading,11,XI,CONTENTS,,
172,I N T E N S I O N A L SEMANTICS,11,XI,CONTENTS,,
173,Modelling intensions,11,XI,CONTENTS,,
174,The intensional language LIL,11,XI,CONTENTS,,
175,Intensional expressions...,11,XI,CONTENTS,,
176,... and their interpretation,11,XI,CONTENTS,,
177,Interpreting opaque contexts,11,XI,CONTENTS,,
178,Oblique transitive verbs,11,XI,CONTENTS,,
179,Control verbs,11,XI,CONTENTS,,
180,Propositional attitudes,11,XI,CONTENTS,,
181,Two problems,11,XI,CONTENTS,,
182,Intensional equivalence,11,XI,CONTENTS,,
183,Cross-world reference,11,XI,CONTENTS,,
184,Postscript,11,XI,CONTENTS,,
185,Further reading,11,XI,CONTENTS,,
186,Answers to selected exercises,11,XI,CONTENTS,,
187,References,11,XI,CONTENTS,,
188,Index,11,XI,CONTENTS,,
189,10.6 xi,11,XI,CONTENTS,,
190,FIGURES,12,XII,FIGURES,,
191,The book is on the table,12,XII,FIGURES,,
192,The book is not on the table,12,XII,FIGURES,,
193,The entities in Mi,12,XII,FIGURES,,
194,"If Jo is over six foot tall, he is over four foot tall",12,XII,FIGURES,,
195,A set and its complement,12,XII,FIGURES,,
196,Every student liked Jo,12,XII,FIGURES,,
197,A lecturer screamed,12,XII,FIGURES,,
198,Universal sublimation of [student']M,12,XII,FIGURES,,
199,Existential sublimation of [lecturer']M,12,XII,FIGURES,,
200,Individual sublimation of [fiona']M,12,XII,FIGURES,,
201,Contingent and non-contingent formulae,12,XII,FIGURES,,
202,Necessary and possible formulae,12,XII,FIGURES,,
203,Negative sublimation of [dog']M xn page 11,12,XII,FIGURES,,
204,PREFACE,13,XIII,PREFACE,,
205,"Although billed as an introduction to formal semantics in general, this textbook is concerned primarily with what has come to be called Montague Semantics and is therefore based primarily on Montague (1970a; 1970b; 1973).",13,XIII,PREFACE,,
206,"A good deal of research within Montague's general framework has been carried out since the 1970s and this has led to many changes in, and many variations of, the original theory.",13,XIII,PREFACE,,
207,Other research has also led to reactions to Montague's programme and the development of rival theories.,13,XIII,PREFACE,,
208,"Only a few of these revisions and extensions to Montague's theory have, however, found their way into the text of the book.",13,XIII,PREFACE,,
209,"This may seem retrogressive, but it is my conviction that many of the questions being asked in formal semantics and the directions of research are best understood by learning about the more radical elements of Montague's original approach, particularly the semantic analysis of noun phrases and the theory of intensionality.",13,XIII,PREFACE,,
210,"Once these have been grasped, later developments can be understood more easily.",13,XIII,PREFACE,,
211,"For this reason, the exposition develops an account of the now classical version of Montague's theory, but references are given for the major revisions and extensions at the end of each chapter for readers to pursue as their interests dictate.",13,XIII,PREFACE,,
212,"Furthermore, there is no attempt in this book to give more of the logical and mathematical background than is necessary to understand how such things can help in the analysis of the semantics of natural languages.",13,XIII,PREFACE,,
213,"This is not an introduction to formal semantics for logicians, but for linguists.",13,XIII,PREFACE,,
214,"No discussion of completeness, consistency, formal proofs, or axiomatisation will therefore be found in these pages.",13,XIII,PREFACE,,
215,This book thus provides an introduction to certain techniques in formal semantics as applied to natural languages (exemplified by English).,13,XIII,PREFACE,,
216,"Although readers may find that the domain of meaning that appears to be amenable to the sort of semantic analysis discussed in this book is somewhat small, the fundamental ideas of truth-conditional semantics and the possibility of applying the techniques of formal semantics to natural languages remain important for the development of linguistic semantics.",13,XIII,PREFACE,,
217,"As an introduction, no logical or mathematical background is assumed for the reader, but some knowledge of Linguistics is taken for granted, particularly with regard to syntax, but acquaintance with an introductory book in general linguistic semantics would be helpful.",13,XIII,PREFACE,,
218,"An explanation of all the relevant concepts from logic and set theory is, however, provided within the text, and references to other textbooks that deal with these concepts are given in the further reading sections of each chapter.",13,XIII,PREFACE,,
219,"Readers who have a knowledge of basic predicate logic may skip Chapters 2 and 3, but those who do not are advised to take each chapter in turn.",13,XIII,PREFACE,,
220,"It is, moreover, advisable to attempt the exercises as they come along, provided that the reader does not get stuck on them.",13,XIII,PREFACE,,
221,It is better to move on to the rest of the text than to spend many fruitless hours struggling over a single problem (in the exercises or in the reading).,13,XIII,PREFACE,,
222,"The answers to some of these exercises appear at the end of the book, but none are given for those that have an asterisk in front of them.",13,XIII,PREFACE,,
223,These latter are in the nature of research exercises designed to make readers consider some of the sorts of problems and difficulties that are encountered in providing formal semantic analyses of the xiii,13,XIII,PREFACE,,
224,sentences of a natural language.,14,XIV,PREFACE,,
225,"References to particular solutions to some of these exercises may, however, be found in the further reading.",14,XIV,PREFACE,,
226,This project began as a joint venture between myself and Lesley Stirling.,14,XIV,PREFACE,,
227,"Unfortunately, circumstances conspired against our co-authorship and the final text was written entirely by myself.",14,XIV,PREFACE,,
228,"Lesley wrote an early draft of Chapter 1 and some notes for Chapter 8 and, while none of her original text appears in this final version, her ideas in our early discussions have obviously influenced its final shape.",14,XIV,PREFACE,,
229,Co-teaching with her in 1986/7 also influenced the way that my later courses in formal semantics developed and thus ultimately how certain of the topics in this book are presented.,14,XIV,PREFACE,,
230,"For these, alas now unidentifiable, benefits, she has my heartfelt thanks.",14,XIV,PREFACE,,
231,My thanks also go to John Lyons who acted as a very careful editor.,14,XIV,PREFACE,,
232,This book has benefited greatly from his meticulous notes on the manuscript and his numerous criticisms of substance and style and his positive suggestions have helped to improve the text considerably.,14,XIV,PREFACE,,
233,"I also wish to thank my colleagues Jim Hurford and Jim Miller, for their many comments on earlier versions of the text.",14,XIV,PREFACE,,
234,Chapter 8 benefited greatly from the latter's careful comments.,14,XIV,PREFACE,,
235,Thanks also to Ruth Kempson for her comments on the earliest text written by myself and Lesley Stirling and to Marguerite Nesling for her insightful comments on the philosophical aspects of the text.,14,XIV,PREFACE,,
236,"The book has grown out of a series of courses in formal semantics for undergraduate and first year postgraduate students and I have to thank all the students at Edinburgh University, too numerous to mention by name, who took the Advanced Semantics class between the academic years 1986/7 and 1991/2.",14,XIV,PREFACE,,
237,Their vociferous suffering over the numerous typos of the various versions of the text and their confusion at wrong diagrams and impossibly difficult exercises inspired me to change things well after the time that I thought I had a finished version.,14,XIV,PREFACE,,
238,The text is the better for their complaints.,14,XIV,PREFACE,,
239,"None of those mentioned here are, of course, responsible for any remaining mistakes or infelicities for which the computer is entirely to blame.",14,XIV,PREFACE,,
240,Judith Ayling and her staff at Cambridge University Press have my gratitude for their careful editing of the final text and their considerable help with the preparation of the camara ready copy from which this book is printed.,14,XIV,PREFACE,,
241,Robert,14,XIV,PREFACE,,
242,"Bradford helped a good deal with the latter stages of the production of the text, the final version of which was prepared on a NeXTstation.",14,XIV,PREFACE,,
243,Many thanks too to Fiona Chapman who heroically produced the illustrations while simultaneously building a house and looking after three children.,14,XIV,PREFACE,,
244,Thanks also to Tom and Betty Watson for endless gin and sympathy and to those people in the village who were continually surprised that I had still not finished the book.,14,XIV,PREFACE,,
245,"Finally, my thanks to Robert Bradford for all his help and support, emotional, financial and computational.",14,XIV,PREFACE,,
246,"His help in solving the repetitive tasks in word-processing and his patience in listening to endless rantings about logic, time and the meaning of meaning went far beyond the realms of duty.",14,XIV,PREFACE,,
247,I dedicate this book to him with my love.,14,XIV,PREFACE,,
248,Pool o' Muckhart xiv,14,XIV,PREFACE,,
249,SYMBOLS,15,XV,SYMBOLS,,
250,Logical symbols,15,XV,SYMBOLS,,
251,& v ve,15,XV,SYMBOLS,,
252,X,15,XV,SYMBOLS,,
253,V,15,XV,SYMBOLS,,
254,Pres,15,XV,SYMBOLS,,
255,Past,15,XV,SYMBOLS,,
256,Fut,15,XV,SYMBOLS,,
257,Perf,15,XV,SYMBOLS,,
258,Impf o,15,XV,SYMBOLS,,
259,• f(a),15,XV,SYMBOLS,,
260,Predn t e,15,XV,SYMBOLS,,
261,"<a,b>",15,XV,SYMBOLS,,
262,"<s,a> h",15,XV,SYMBOLS,,
263,Hh,15,XV,SYMBOLS,,
264,*= conjunction (and) inclusive disjunction (or) exclusive disjunction material implication (if...theri) equivalence (if and only if) identity operator negation (not) lambda operator,15,XV,SYMBOLS,,
265,X-converts into universal quantifier (all/every) existential quantifier (a/some) present tense operator past tense operator future tense operator perfective operator imperfective operator possibility operator necessity operator functor f applied to argument a n-place predicate type of a formula type of an individual complex type intensional type entailment paraphrase contradiction,15,XV,SYMBOLS,,
266,"Variables x,y,z r",15,XV,SYMBOLS,,
267,"P,Q",15,XV,SYMBOLS,,
268,A,15,XV,SYMBOLS,,
269,R,15,XV,SYMBOLS,,
270,"SR p,q,r",15,XV,SYMBOLS,,
271,"P p individual (type e) individual concept (type <s,e>) set (type <e,t>) property (type < s , < e , t » ) binary relation (type < e , < e , t » ) relation in intension (type <s,<e,<e,t>») propositional (type t or (ch.",15,XV,SYMBOLS,,
272,"10) <s,t>) generalised quantifier (type «e,t>,t>) intensional generalised quantifier (type <s,«e,t>,t») xv",15,XV,SYMBOLS,,
273,Set theory,16,XVI,SYMBOLS,,
274,"{a,..,b}",16,XVI,SYMBOLS,,
275,{x I f(x)},16,XVI,SYMBOLS,,
276,"<a,b>",16,XVI,SYMBOLS,,
277,"<a,b,c>",16,XVI,SYMBOLS,,
278,G,16,XVI,SYMBOLS,,
279,£ n u c z> c,16,XVI,SYMBOLS,,
280,|A |,16,XVI,SYMBOLS,,
281,AxB,16,XVI,SYMBOLS,,
282,"AB set consisting of elements a,...,b set of elements x satisfying property f ordered pair of elements ordered triple of elements the null (or empty) set set membership (is a member of) set non-membership (is not a member of) set intersection set union proper subset relation proper superset relation subset relation superset relation is less than or equal to is greater than or equal to is greater than cardinality of set A cartesian product of sets A and B",16,XVI,SYMBOLS,,
283,"({<a,b>la€ A&be B}) set of functions from domain B to range A",16,XVI,SYMBOLS,,
284,M o d e l theory,16,XVI,SYMBOLS,,
285,"[(X]M,g,w,i",16,XVI,SYMBOLS,,
286,M,16,XVI,SYMBOLS,,
287,A,16,XVI,SYMBOLS,,
288,F,16,XVI,SYMBOLS,,
289,T,16,XVI,SYMBOLS,,
290,I,16,XVI,SYMBOLS,,
291,W,16,XVI,SYMBOLS,,
292,"R g gaA,",16,XVI,SYMBOLS,,
293,"[ti,tj] ft] o",16,XVI,SYMBOLS,,
294,C,16,XVI,SYMBOLS,,
295,"3[(|)]M,8 l[<j)] M -8",16,XVI,SYMBOLS,,
296,"XVI interpretation of a with respect to M, g, w and i truth falsity",16,XVI,SYMBOLS,,
297,Model set of entities denotation assignment function set of times set of temporal intervals defined on T precedence relation set of possible worlds accessibility relation on W assignment of values to variables assignment of values to variables where element g(u) = a denotation type of expressions of type a temporal interval between times tj and tj moment of time overlap relation (of temporal intervals) subinterval relation intension of <>,16,XVI,SYMBOLS,,
298,| with respect to M and g sense of c>,16,XVI,SYMBOLS,,
299,| with respect to M and g,16,XVI,SYMBOLS,,
300,Grammatical symbols s,17,XVII,SYMBOLS,,
301,NP,17,XVII,SYMBOLS,,
302,Npr,17,XVII,SYMBOLS,,
303,Pro,17,XVII,SYMBOLS,,
304,N,17,XVII,SYMBOLS,,
305,CNP,17,XVII,SYMBOLS,,
306,Det,17,XVII,SYMBOLS,,
307,A,17,XVII,SYMBOLS,,
308,A[-PRD],17,XVII,SYMBOLS,,
309,VP,17,XVII,SYMBOLS,,
310,VP[PAS],17,XVII,SYMBOLS,,
311,Vi vt vVodt,17,XVII,SYMBOLS,,
312,[+FIN],17,XVII,SYMBOLS,,
313,Adv,17,XVII,SYMBOLS,,
314,CONJ,17,XVII,SYMBOLS,,
315,NEG,17,XVII,SYMBOLS,,
316,PPby,17,XVII,SYMBOLS,,
317,PP«o,17,XVII,SYMBOLS,,
318,[iPAST],17,XVII,SYMBOLS,,
319,—» sentence noun phrase proper noun pronoun common noun common noun phrase determiner adjective attributive adjective verb phrase passive verb phrase intransitive verb transitive verb ditransitive verb impersonal verb finite/non-finite (verb) adverb conjunction negative by prepositional phrase to prepositional phrase past/non-past rewrite arrow translates as,17,XVII,SYMBOLS,,
320,XVll,17,XVII,SYMBOLS,,
321,Introduction,19,1,1 Introduction,,
322,Semantics and semantic theory,19,1,1 Introduction,,
323,"In its broadest sense, semantics is the study of meaning and linguistic semantics is the study of meaning as expressed by the words, phrases and sentences of human languages.",19,1,1 Introduction,,
324,"It is, however, more usual within linguistics to interpret the term more narrowly, as concerning the study of those aspects of meaning encoded in linguistic expressions that are independent of their use on particular occasions by particular individuals within a particular speech community.",19,1,1 Introduction,,
325,"In other words, semantics is the study of meaning abstracted away from those aspects that are derived from the intentions of speakers, their psychological states and the socio-cultural aspects of the context in which their utterances are made.",19,1,1 Introduction,,
326,A further narrowing of the term is also commonly made in separating the study of semantics from that of pragmatics.,19,1,1 Introduction,,
327,"Unfortunately, the nature of the object of inquiry of the discipline (what constitutes semantic meaning, as opposed to pragmatic meaning) and the domain of the inquiry",19,1,1 Introduction,,
328,(what aspects of meaning should be addressed by the discipline) remain difficult and controversial questions.,19,1,1 Introduction,,
329,"There are, however, three central aspects of the meaning of linguistic expressions that are currently accepted by most semanticists as forming the core concern of linguistic semantics.",19,1,1 Introduction,,
330,"These central concerns of semantic theory, adapted from Kempson (1977:4), are stated in (1) and may be adopted as criteria for ascertaining the adequacy of semantic theories which apply in addition to the general conditions on scientific theories of falsifiability and rigour.",19,1,1 Introduction,,
331,"A semantic theory must: capture for any language the nature of the meaning of words, phrases and sentences and explain the nature of the relation between them; be able to predict the ambiguities in the expressions of a language; characterise and explain the systematic meaning relations between the words, the phrases and the sentences of a language.",19,1,1 Introduction,,
332,One may add to these the condition that a semantic theory should provide an account of the relation between linguistic expressions and what may be called 'things in the world'.,19,1,1 Introduction,,
333,"In other words, it is a primary concern of a semantic theory to explain how human beings can use their language to convey information about the external world.",19,1,1 Introduction,,
334,We may thus require a semantic theory to conform also to the criterion of adequacy in (2).,19,1,1 Introduction,,
335,A semantic theory must provide an account of the relation between linguistic expressions and the things that they can be used to talk about.,19,1,1 Introduction,,
336,"There are many other aspects of meaning that can be included in the domain of linguistic semantics, but a theory conforming to the four criteria in (1) and (2) will cover the main ground of the discipline and provide a firm basis for further research.",19,1,1 Introduction,,
337,"In this book, we will be looking at a particular theory of semantics that goes a long way towards satisfying these criteria and that has been very influential in linguistic",19,1,1 Introduction,,
338,1 Introduction semantics over the last two decades.,20,2,1 Introduction,,
339,This theory is a formal theory of semantics and is distinguished from general linguistic semantics by its greater use of mathematical techniques and reliance on logical precision.,20,2,1 Introduction,,
340,This is not to say that formal semantics and general linguistic semantics are completely separate disciplines.,20,2,1 Introduction,,
341,"It sometimes appears that these two approaches to the semantics of natural languages are mutually incompatible, but this is not obviously true.",20,2,1 Introduction,,
342,The former draws heavily on the long tradition of research in the latter which in turn benefits from the greater precision of the former.,20,2,1 Introduction,,
343,Both approaches enable us to understand more about meaning and greater integration between them would doubtless bring greater benefits to the discipline.,20,2,1 Introduction,,
344,"Formal semantics itself was devised as a means of providing a precise interpretation for formal languages, i.e. the logical and mathematical languages that are opposed to natural languages that are spoken or written as the native languages of human beings.",20,2,1 Introduction,,
345,"Many logicians considered it to be impossible to apply the same rigour to the semantics of human languages, because of their supposedly inexact syntax, their vagueness and their ambiguity.",20,2,1 Introduction,,
346,"In the late nineteen-sixties, however, the philosopher Richard Montague asserted that it was possible to use the same techniques in analysing the meanings of sentences in English.",20,2,1 Introduction,,
347,"In three articles, English as a formal language, Universal grammar and The proper treatment of quantification in",20,2,1 Introduction,,
348,"English, all published or presented in 1970, Montague gave arguments for his hypothesis that:",20,2,1 Introduction,,
349,"There is in my opinion no important theoretical difference between natural languages and the artificial languages of logicians; indeed, I consider it possible to comprehend the syntax and semantics of both kinds of language within a single, natural and mathematically precise theory.",20,2,1 Introduction,,
350,Montague (1974: 222),20,2,1 Introduction,,
351,"Throughout the nineteen-seventies, after his tragic death in 1971, Montague's work had a radical effect on the study of semantics in linguistics.",20,2,1 Introduction,,
352,"Indeed, his ideas on the semantics of human languages have become central to the understanding of many of the questions and theories being discussed in linguistic semantics today.",20,2,1 Introduction,,
353,"Owing to the relatively recent application of the tools of formal semantics to the analysis of natural languages, however, there are many topics in linguistic semantics that have not yet been formally analysed, but it is hoped that ultimately a good deal of linguistic meaning will be amenable to the sort of rigorous treatment envisaged by Montague.",20,2,1 Introduction,,
354,"It is the exposition of Montague's theory in its now classical form that constitutes the subject matter of this book, but, before the main points of his semantic theory are introduced, the four criteria of adequacy in (1) and (2) above will be discussed in more detail in order to provide a clearer idea of the fundamental issues that underlie the development of the theory in later chapters.",20,2,1 Introduction,,
355,Compositionality,20,2,1 Introduction,,
356,A fundamental property that any semantic theory must have is the ability to pair the syntactic expressions of a language with their meanings.,20,2,1 Introduction,,
357,"In the first condition of adequacy in (l.a), above, this property is characterised as a requirement that a semantic theory account for the nature of the meaning of linguistic expressions and be able to pair every expression in a language (words, phrases and sentences) with an appropriate meaning.",20,2,1 Introduction,,
358,"As already mentioned, the characterisation of meaning is a",20,2,1 Introduction,,
359,"Semantics and semantic theory controversial matter, but whatever meanings are taken to be within a theory, it is obvious that there must be some way of associating them with appropriate linguistic expressions.",21,3,1 Introduction,,
360,"This is not a trivial matter, however, and there are a number of important points that need to be discussed with respect to this property.",21,3,1 Introduction,,
361,"In the first place, let us consider more closely what it is that is to be assigned meanings by a semantic theory.",21,3,1 Introduction,,
362,Condition (l.a) refers to words and sentences as the carriers of meaning.,21,3,1 Introduction,,
363,"The term sentence here is being used in its abstract sense, common in linguistics, as the largest unit of syntactic description, independently of its realisation in spoken or written texts.",21,3,1 Introduction,,
364,"Like the term sentence, word is also ambiguous in everyday English.",21,3,1 Introduction,,
365,"Within semantics, the notion of word that is most useful is that of the lexeme which is an abstract grammatical construct that underlies a set of word forms which are recognised as representatives of 'the same word' in different syntactic environments.",21,3,1 Introduction,,
366,"For example, the word forms sing, sings, singing, sang and sung are particular inflectional variants of a lexeme which we may represent for the time being as SING.",21,3,1 Introduction,,
367,"It is to lexemes and not to word forms that meanings should be assigned, because while the inflectional properties of the verb SING may vary in different syntactic environments, the sort of action described by the verb remains the same.",21,3,1 Introduction,,
368,"For this reason, the meaning of words is referred to in this book as lexical meaning, rather than word meaning.",21,3,1 Introduction,,
369,"Although it is possible for the meanings assigned to lexemes and sentences to be very different from each other, it is reasonable to expect the meanings of sentences to be related to the meanings of the lexemes underlying the word-forms they contain.",21,3,1 Introduction,,
370,It is intuitively implausible for there to be a language where the relation between the meaning of a sentence and the meanings of its component lexemes is entirely random.,21,3,1 Introduction,,
371,"While languages do contain idiomatic phrases and sentences where lexical and sentential meaning are not transparently related (e.g. kick the bucket meaning the same as DIE in English), this is never the general situation.",21,3,1 Introduction,,
372,"If there were no direct relation between lexical and sentential meaning, of course, the meaning of each sentence in a language would have to be listed.",21,3,1 Introduction,,
373,"Since the number of sentences that make up a language is infinite, this would mean that no human being would be able to determine the meanings of all the sentences of any language owing to the finite resources of the brain.",21,3,1 Introduction,,
374,"This is absurd, of course, and just as sentences are defined recursively by syntactic rules, taking words (or morphemes) as their basis, so their meanings should also be defined recursively from the meanings ascribed to the lexemes they contain.",21,3,1 Introduction,,
