,content,page_number,real_page_num,section_level_1,section_level_2,section_level_3,clean_content
119,"For example, the assertion that Jo stroked a cat is contradicted by the non-existence of cats, making (6.e) a contradiction of (6.a).",24,6,1 Introduction,No info,No info,assertion cat cat contradiction
120,"The relation between (6.a) and the sentences in (6.f) and (6.g) is also primarily semantic, although most syntactic theories recognise a syntactic relation between the sentences as well.",24,6,1 Introduction,No info,No info,relation sentence semantic syntactic theory syntactic relation sentence
121,"Using a common term in a technical way, we may say these sentences are paraphrases of each other, since they all have the same core meaning.",24,6,1 Introduction,No info,No info,common term technical way sentence paraphrase core meaning
122,Another way of putting this is to say that they mutually entail each other.,24,6,1 Introduction,No info,No info,way entail
123,"Hence, we may say that a sentence Si is a paraphrase of a sentence S2 if Si entails S2 and S2 entails S,.",24,6,1 Introduction,No info,No info,sentence paraphrase sentence entail entail
124,"An adequate theory of semantics must, therefore, provide an account of entailment, contradiction and paraphrase that allows one to identify which sentences are entailed by, or contradict or paraphrase, another in a language.",24,6,1 Introduction,No info,No info,adequate theory semantics account entailment contradiction paraphrase identify sentence contradict paraphrase language
125,"Indeed, this concern, along with compositionality, is a major motivation for the theoretical programme developed in this book.",24,6,1 Introduction,No info,No info,concern compositionality major motivation theoretical programme book
126,Other sorts of implication between sentences are also recognised in general linguistic semantics.,24,6,1 Introduction,No info,No info,sort implication sentence general linguistic semantics
127,"Some of these derive from lexical meaning as in (6.h) and (6.i) which are related to (6.a) by virtue of the meanings of the lexemes STROKE and CAT, respectively.",24,6,1 Introduction,No info,No info,lexical meaning virtue lexeme stroke cat
128,"It is part of the meaning of the lexeme STROKE thai an action of stroking also involves an action of touching, so that (6.a) implies (6.h).",24,6,1 Introduction,No info,No info,part meaning lexeme stroke thai action stroking action implies
129,"Furthermore, it is part of the meaning of CAT that anything that is a cat is also an animal and thus (6.a) implies (6.i).",24,6,1 Introduction,No info,No info,part cat cat animal
130,"The meaning relations that hold between the lexemes of a language (or between lexemes and larger expressions) are called sense relations and include hyponymy, which holds if the sense of one lexeme includes that of another (e.g.",24,6,1 Introduction,No info,No info,relation hold lexeme language lexeme larger expression sense relation hyponymy sense lexeme
131,"between CAT and ANIMAL); synonymy, where two lexemes have the same sense (e.g.",24,6,1 Introduction,No info,No info,cat animal synonymy lexeme sense
132,"betv/eenMERCURYand QUICKSILVER); and oppositeness, where two lexemes have opposing senses (e.g. BIG and SMALL and DEAD and ALIVE).",24,6,1 Introduction,No info,No info,quicksilver oppositeness lexeme sens big small dead alive
133,"Hence, an adequate theory of semantics must give some account of lexical meaning and, in particular, of the sense relations that hold between lexemes in a particular language.",24,6,1 Introduction,No info,No info,adequate theory semantics account lexical meaning particular sense relation hold lexeme particular language
134,Other implicational meaning relations hold between sentences in addition to those that have been noted above.,24,6,1 Introduction,No info,No info,implicational meaning relation sentence addition
135,"One of these is so-called conversational implicature, which is derived not from the conventional meanings of words or sentences, but from principles of discourse and context.",24,6,1 Introduction,No info,No info,conversational implicature conventional meaning word sentence principle discourse context
136,"For example, in the exchange in (7), the apparent irrelevance of Ethel's reply in (7.b) to Bertie's question in (7.a) leads the latter to infer (7.c).",24,6,1 Introduction,No info,No info,apparent irrelevance ethel reply bertie question lead latter infer
137,The reason behind inference has to do with Bertie's expectations about Ethel's co-operativeness in providing him with the information he needs.,24,6,1 Introduction,No info,No info,reason inference bertie expectation ethel information
138,"The fact that she has not given a straight answer leads Bertie, not to assume that she is being deliberately unhelpful, but to look for some piece of information that is relevant to his question that is indirectly implied by Ethel's response.",24,6,1 Introduction,No info,No info,fact straight answer lead bertie unhelpful look piece information relevant question ethel response
139,This example is discussed in more detail in Section 1.3.1 below.,24,6,1 Introduction,No info,No info,detail
140,(7) a.,24,6,1 Introduction,No info,No info,
141,b.,24,6,1 Introduction,No info,No info,
142,c.,24,6,1 Introduction,No info,No info,
143,Bertie: Is Fiona a good lecturer?,24,6,1 Introduction,No info,No info,bertie fiona good lecturer
144,Ethel: She has a good line in sweaters.,24,6,1 Introduction,No info,No info,good line sweater
145,Bertie (thinks): Fiona is not a good lecturer.,24,6,1 Introduction,No info,No info,bertie fiona good lecturer
146,Another sort of implication between sentences is called presupposition.,24,6,1 Introduction,No info,No info,sort implication sentence presupposition
147,A sentence is said to presuppose another if its truth and that of its negation both imply that the presupposed sentence is also true.,24,6,1 Introduction,No info,No info,sentence truth negation imply presupposed sentence true
148,"In other words, presupposition deals with aspects of meaning that are assumed to hold of a situation when a sentence is uttered",24,6,1 Introduction,No info,No info,word presupposition deal aspect meaning hold situation sentence
149,Semantics and semantic theory to describe that situation.,25,7,1 Introduction,No info,No info,semantics semantic theory situation
150,"For example, the use of the definite article in a noun phrase is said to presuppose the existence of something that has the property described by the common noun in the same NP.",25,7,1 Introduction,No info,No info,definite article noun phrase presuppose existence property common noun
151,"This is illustrated in (8) where the truth of the sentences in (8.c) and (8.d) is presupposed by that of (8.a) and its negation in (8.b), because of the use of the in the subject noun phrase.",25,7,1 Introduction,No info,No info,truth sentence negation use subject noun phrase
152,"(8.c) is not implied by (8.e) which replaces the in the subject NP by every (as shown by the bracketed causal clause which denies the truth of (8.c), apparently without contradiction) and, while (8.f) implies (indeed, according to the discussion above, entails) (8.c), its negation in (8.g) does not.",25,7,1 Introduction,No info,No info,implied replaces subject causal clause truth contradiction discussion entail negation
153,(8) a.,25,7,1 Introduction,No info,No info,
154,b.,25,7,1 Introduction,No info,No info,
155,c.,25,7,1 Introduction,No info,No info,
156,d.,25,7,1 Introduction,No info,No info,
157,e.,25,7,1 Introduction,No info,No info,
158,f.,25,7,1 Introduction,No info,No info,
159,g.,25,7,1 Introduction,No info,No info,
160,The Duchess of Muckhart terrorised the village.,25,7,1 Introduction,No info,No info,duchess muckhart village
161,The Duchess of Muckhart didn't terrorise the village.,25,7,1 Introduction,No info,No info,duchess muckhart terrorise village
162,There is a Duchess of Muckhart.,25,7,1 Introduction,No info,No info,duchess muckhart
163,There is a village.,25,7,1 Introduction,No info,No info,village
164,Every Duchess of Muckhart terrorised the village (because there is no,25,7,1 Introduction,No info,No info,duchess muckhart village
165,Duchess of Muckhart).,25,7,1 Introduction,No info,No info,duchess muckhart
166,A Duchess of Muckhart terrorised the village.,25,7,1 Introduction,No info,No info,duchess muckhart village
167,A Duchess of Muckhart didn't terrorise the village.,25,7,1 Introduction,No info,No info,duchess muckhart terrorise village
168,It is usually assumed that implicatures such as that in (7) result from principles of conversation and thus form part of the domain of pragmatics rather than semantics,25,7,1 Introduction,No info,No info,implicatures principle conversation form part domain pragmatic semantics
169,(see Chapter 7 for some further discussion).,25,7,1 Introduction,No info,No info,discussion
170,"More controversial, however, is the status of presupposition.",25,7,1 Introduction,No info,No info,controversial status presupposition
171,"Whether it should be included in semantic or pragmatic theory is an extremely vexed question, as indeed is the definition and status of the phenomenon itself.",25,7,1 Introduction,No info,No info,semantic pragmatic theory vexed question status phenomenon
172,"As the inclusion of this topic would require considerable discussion, it is omitted from consideration in this book.",25,7,1 Introduction,No info,No info,inclusion topic considerable discussion consideration book
173,"This is for convenience only and should not be taken to reflect on the importance of the topic, only on the controversiality of its analysis.",25,7,1 Introduction,No info,No info,convenience importance topic controversiality analysis
174,The reader is referred for further information on this vexed topic to the books and articles mentioned at the end of this chapter.,25,7,1 Introduction,No info,No info,reader information topic book article end
175,"In addition to accounting for these semantic relations, a semantic theory may also be required to provide some account of anomaly in the meaning of expressions in some language.",25,7,1 Introduction,No info,No info,addition semantic relation semantic theory account expression language
176,"It should, therefore, be able to explain why certain expressions which are syntactically well-formed are unacceptable or deviant from the semantic point of view.",25,7,1 Introduction,No info,No info,able certain expression unacceptable deviant semantic point view
177,"For example, the sentence in (9.a) is syntactically well-formed and semantically coherent in English.",25,7,1 Introduction,No info,No info,sentence coherent english
178,"Those in (9.b) and (9.c), however, are semantically anomalous despite the fact that they have the same syntactic structure as (9.a).",25,7,1 Introduction,No info,No info,anomalous fact syntactic structure
179,"Such sentences can, however, be given some sort of non-literal interpretation (although (9.c) is harder to find an interpretation for than (9.b)), unlike the completely ill-formed expression in (9.d) which is simply not English.",25,7,1 Introduction,No info,No info,sentence interpretation interpretation expression english
180,This decline in acceptability from,25,7,1 Introduction,No info,No info,decline acceptability
181,(9.a) to (9.c) and the incoherence of (9.d) should thus be explained by an adequate theory of semantics.,25,7,1 Introduction,No info,No info,incoherence adequate theory semantics
182,(9) a.,25,7,1 Introduction,No info,No info,
183,b.,25,7,1 Introduction,No info,No info,
184,c.,25,7,1 Introduction,No info,No info,
185,d.,25,7,1 Introduction,No info,No info,
186,Green Wellington boots are very popular now.,25,7,1 Introduction,No info,No info,green wellington boot popular
